,,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc2,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc3,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,apc4,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVTZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCVQZ,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z,aCV5Z
HR46,nitrogen,2.26670544,1.5061358,1.5061358,0.0,-0.0,-0.0,-0.02943675,0.02488365,0.02488365,0.0,0.0,-0.0,2.23726869,1.53101945,1.53101945,0.0,-0.0,-0.0,2.27176277,1.5143059,1.5143059,0.0,0.0,0.0,-0.03091519,0.0228105,0.0228105,0.0,0.0,-0.0,2.24084758,1.53711641,1.53711641,0.0,0.0,-0.0,2.27243493,1.51483687,1.51483687,-0.0,-0.0,-0.0,-0.03151427,0.02288977,0.02288977,-0.0,-0.0,-0.0,2.24092066,1.53772664,1.53772664,-0.0,-0.0,-0.0,2.27051344,1.50543259,1.50543259,-0.0,-0.0,0.0,-0.02939122,0.02612391,0.02612391,-0.0,-0.0,0.0,2.24112222,1.5315565,1.5315565,-0.0,-0.0,0.0,2.27212629,1.51459729,1.51459729,-0.0,-0.0,-0.0,-0.03047565,0.0240383,0.0240383,-0.0,-0.0,0.0,2.24165064,1.53863559,1.53863559,-0.0,-0.0,-0.0,2.27207401,1.51505921,1.51505921,-0.0,0.0,0.0,-0.03125183,0.02336252,0.02336252,0.0,-0.0,-0.0,2.24082218,1.53842174,1.53842174,0.0,0.0,-0.0
HR46,nitrogen_monoxide,1.43907563,1.32977419,2.19077179,0.0,-0.0,-2.43e-06,0.07624568,0.03423203,0.03656181,0.0,0.0,-9.8e-07,1.51532131,1.36400622,2.2273336,0.0,0.0,-3.41e-06,1.45019627,1.33959384,2.20008573,-7.72e-06,0.0,-2.53e-06,0.07483949,0.03299077,0.03579343,-2.92e-06,0.0,-1.05e-06,1.52503577,1.3725846,2.23587915,-1.064e-05,0.0,-3.58e-06,1.45191085,1.34098167,2.20102152,0.00063684,-1e-08,-2.53e-06,0.07474465,0.03309945,0.03508535,0.00023909,-0.0,-1.05e-06,1.5266555,1.37408112,2.23610687,0.00087593,-2e-08,-3.58e-06,1.41947248,1.31436805,2.18264142,-0.0,0.0,-2.44e-06,0.06759234,0.02880344,0.02947587,-0.0,-0.0,-8.9e-07,1.48706482,1.34317149,2.21211729,-0.0,0.0,-3.33e-06,1.4423077,1.33429108,2.19419899,0.0,-0.0,-2.53e-06,0.07097558,0.03118531,0.03194281,0.0,0.0,-9.7e-07,1.51328328,1.3654764,2.2261418,0.0,0.0,-3.49e-06,1.4470729,1.33782371,2.19801628,0.0,-0.0,-2.53e-06,0.0722703,0.03193673,0.03313329,0.0,-0.0,-9.9e-07,1.5193432,1.36976044,2.23114956,0.0,-0.0,-3.52e-06
HR46,oxygen,2.42768119,1.18999652,1.18999652,-0.0,0.0,-0.0,-0.16523503,0.03245081,0.03245081,0.0,0.0,-0.0,2.26244616,1.22244733,1.22244733,-0.0,0.0,-0.0,2.4368749,1.19920638,1.19920638,0.0,-0.0,0.0,-0.16844875,0.02935523,0.02935523,-0.0,-0.0,-0.0,2.26842615,1.22856161,1.22856161,-0.0,-0.0,-0.0,2.43824216,1.19991848,1.19991848,-0.0,0.0,0.0,-0.16964642,0.02911244,0.02911244,-0.0,0.0,0.0,2.26859574,1.22903092,1.22903092,-0.0,0.0,0.0,2.41974205,1.16571599,1.16571599,-0.0,0.0,0.0,-0.17250319,0.02679142,0.02679142,0.0,-0.0,0.0,2.24723886,1.19250741,1.19250741,0.0,-0.0,0.0,2.43243662,1.19326626,1.19326626,-0.0,0.0,-0.0,-0.17086643,0.02860281,0.02860281,0.0,0.0,-0.0,2.26157019,1.22186907,1.22186907,0.0,0.0,-0.0,2.43602899,1.19749276,1.19749276,0.0,0.0,-0.0,-0.17074573,0.02881604,0.02881604,-0.0,0.0,0.0,2.26528326,1.2263088,1.2263088,-0.0,0.0,0.0
HR46,phenol,13.30785367,12.2171531,6.84753719,-0.20362512,0.01160073,0.0240293,0.39645671,0.18661499,0.05961168,-0.010308485,0.00025383999999999997,0.001249975,13.70431037,12.40376809,6.90714887,-0.21393361,0.01185457,0.02527928,13.32621364,12.2318445,6.85621385,-0.20240468,0.01161926,0.02406882,0.39338739,0.18376284,0.05249216,-0.01033511,0.00026367000000000003,0.001265775,13.71960102,12.41560734,6.90870601,-0.21273978999999998,0.01188293,0.025334595,13.32715562,12.23251439,6.85649142,-0.20238157,0.01162025,0.02407142,0.3924503,0.18286656,0.0495911,-0.010293034999999999,0.00026843,0.001272935,13.71960592,12.41538095,6.90608251,-0.21267461,0.01188868,0.025344365,13.31610457,12.22339889,6.85942088,-0.20495803,0.01158285,0.02401211,0.40099855,0.19166814,0.0601616,-0.01097014,0.00026175,0.001263795,13.71710312,12.41506703,6.91958248,-0.215928175,0.0118446,0.025275905,13.32522686,12.23151498,6.85812409,-0.20320344,0.01161103,0.02405601,0.39598105,0.18635818,0.05263657,-0.01052176,0.00026834,0.0012737949999999999,13.72120791,12.41787316,6.91076065,-0.2137252,0.01187938,0.025329815,13.32544335,12.23112443,6.85715815,-0.20272396,0.01161421,0.02406161,0.3932554,0.18368499,0.04955073,-0.010345375,0.00027017,0.001276045,13.71869874,12.41480942,6.90670888,-0.21306934,0.01188438,0.025337665000000002
HR46,phosphine,4.39140535,4.36627188,4.5674918,0.00079094,0.00223694,0.07115479,0.03805541,0.03396278,0.06674751,0.00012886,0.0003647,0.01159327,4.42946076,4.40023467,4.63423931,0.0009197949999999999,0.00260164,0.08274804999999999,4.40996825,4.38340404,4.59607585,0.00083597,0.00236414,0.07520446,0.03476892,0.03111916,0.0603047,0.00011414,0.00032395,0.010323675000000001,4.44473717,4.4145232,4.65638054,0.00095011,0.00268809,0.085528135,4.4119983,4.38539234,4.59840788,0.00083714,0.00236795,0.07532551,0.0359107,0.03237206,0.06066491,0.00011125,0.00031481,0.01000741,4.447909,4.4177644,4.65907278,0.00094839,0.00268275,0.08533291000000001,4.40438798,4.37912665,4.5813705,0.00079498,0.00224825,0.07151677,0.03770517,0.03404278,0.06335775,0.00011523,0.00032595,0.010367925,4.44209316,4.41316943,4.64472826,0.00091021,0.0025742,0.0818847,4.40995133,4.38330428,4.59664238,0.00083858,0.00237159,0.07543994,0.03677086,0.03322923,0.06157706,0.00011143,0.00031513,0.010025685,4.44672219,4.41653351,4.65821944,0.00095001,0.00268672,0.08546561999999999,4.40949567,4.38306379,4.59467906,0.0008318,0.00235243,0.07483077,0.0357999,0.03233359,0.06007884,0.00010906,0.00030848,0.00981201,4.44529557,4.41539738,4.6547579,0.00094087,0.00266092,0.08464278
HR46,propane,6.20039696,5.74521916,5.67577132,0.24145996,-0.26079759,-0.21145485,0.13506937,0.10467395,0.09930924,0.0135726,-0.02015374,-0.011886925,6.33546632,5.84989311,5.77508057,0.25503255999999996,-0.28095133,-0.223341775,6.21055254,5.75368462,5.68408808,0.24273819,-0.26135654,-0.21257415,0.13728,0.10561096,0.10008216,0.014352094999999999,-0.020771345,-0.01256949,6.34783253,5.85929558,5.78417024,0.257090285,-0.28212788499999997,-0.225143635,6.21081998,5.75381611,5.6841973,0.24280471,-0.26144048,-0.21263242,0.13793471,0.10586742,0.10028322,0.01458447,-0.020978635000000002,-0.01277271,6.3487547,5.85968354,5.78448052,0.25738918,-0.28241911,-0.22540513,6.21104868,5.75315906,5.68343353,0.24337482,-0.26184064,-0.21313165,0.14317426,0.11038863,0.10467622,0.014898415,-0.021460254999999998,-0.01304824,6.35422294,5.86354769,5.78810975,0.25827324,-0.283300895,-0.226179895,6.21118597,5.75349554,5.68376699,0.24315202,-0.26185187,-0.21293659,0.14027179,0.10768879,0.10202256,0.01484468,-0.021286439999999997,-0.0130008,6.35145776,5.86118433,5.78578955,0.257996705,-0.28313830500000003,-0.22593739,6.21067817,5.7535259,5.68388341,0.24288029,-0.26152895,-0.21269859,0.13904375,0.10660817,0.10096829,0.014779085,-0.021187765,-0.01294342,6.34972193,5.86013407,5.7848517,0.257659375,-0.282716715,-0.22564201
HR46,pyrazole,8.01238632,8.24296489,4.99482837,-0.12623026,0.00140914,-0.0063771,0.20608341,0.12850928,0.06456115,-0.022668015,8.171e-05,-0.00031651,8.21846973,8.37147417,5.05938952,-0.148898285,0.001490845,-0.00669361,8.02409971,8.25577071,5.0015747,-0.12508594,0.00140853,-0.00638718,0.20132462,0.12623768,0.05851474,-0.02292998,8.329e-05,-0.00031937,8.22542433,8.3820084,5.06008944,-0.14801592,0.00149182,-0.00670655,8.02476166,8.25642094,5.00196109,-0.12502304,0.0014084,-0.00638779,0.19982338,0.12521814,0.05603943,-0.022948375,8.374e-05,-0.00032147,8.22458504,8.38163909,5.05800052,-0.14797142000000002,0.00149214,-0.00670926,8.01606966,8.24432306,5.00276484,-0.12538999,0.00140447,-0.00636705,0.207791,0.1312269,0.06356565,-0.023452935,8.451e-05,-0.00032264,8.22386066,8.37554996,5.06633049,-0.14884292500000001,0.00148898,-0.00668969,8.02270758,8.25356265,5.00313977,-0.12521974,0.00140733,-0.00638071,0.20277766,0.12758703,0.05806148,-0.02310416,8.428e-05,-0.00032352,8.22548524,8.38114968,5.06120125,-0.1483239,0.00149161,-0.00670423,8.02363627,8.25482541,5.00234543,-0.12496104,0.00140779,-0.00638461,0.20034425,0.12557054,0.05578691,-0.023008095,8.409e-05,-0.00032313,8.22398053,8.38039595,5.05813234,-0.14796913,0.00149189,-0.00670774
HR46,pyridine,10.55046334,11.22465283,5.99116597,-0.02417046,-0.0072048,-0.00736144,0.1885692,0.1642221,0.02020415,0.00087464,-0.00023584,-0.00026907,10.73903254,11.38887492,6.01137012,-0.02329582,-0.007440635,-0.007630505,10.56420635,11.24027918,5.9989855,-0.02423788,-0.00721738,-0.00737082,0.18518167,0.16176309,0.01489237,0.00084146,-0.000241445,-0.00027198,10.74938802,11.40204226,6.01387786,-0.023396425,-0.007458825,-0.007642795,10.56464492,11.24069777,5.99923186,-0.02423725,-0.00721773,-0.00737112,0.18405161,0.16112204,0.01262237,0.0008235849999999999,-0.00024458,-0.00027367,10.74869653,11.40181981,6.01185423,-0.023413660000000003,-0.007462315,-0.00764479,10.55934948,11.23448316,6.00019714,-0.02420449,-0.00720593,-0.00736127,0.19246738,0.16984812,0.02097917,0.000813055,-0.00024291,-0.00027398,10.75181686,11.40433127,6.02117631,-0.02339143,-0.007448845,-0.00763525,10.56369597,11.24005268,6.00000174,-0.02424788,-0.00721394,-0.00736868,0.1872729,0.16464643,0.01505259,0.0008132149999999999,-0.000245495,-0.000274885,10.75096887,11.40469911,6.01505433,-0.02343467,-0.007459425,-0.00764357,10.56381954,11.23979097,5.99999976,-0.02423435,-0.00721515,-0.00736854,0.18489777,0.1620799,0.01261517,0.000819905,-0.00024601500000000004,-0.00027507,10.74871731,11.40187087,6.01261493,-0.023414445,-0.007461155,-0.00764361
HR46,pyrrole,8.89361646,9.27637951,5.73359074,0.00285204,0.0013445,-0.00094346,0.11258312,0.1471135,0.04553767,0.000256715,-1.14e-06,-1.512e-05,9.00619957,9.423493,5.77912841,0.00310876,0.00134336,-0.00095858,8.90844756,9.2948681,5.73957425,0.00287933,0.00135163,-0.00094568,0.11020818,0.14233926,0.0377536,0.00023909000000000002,3.15e-07,-1.671e-05,9.01865574,9.43720735,5.77732785,0.003118425,0.001351945,-0.00096239,8.90900071,9.29554487,5.73994246,0.0028803,0.00135175,-0.00094573,0.10917146,0.14088591,0.03441749,0.00023861500000000002,-1.345e-06,-2.102e-05,9.01817217,9.43643078,5.77435995,0.003118915,0.0013504,-0.00096675,8.89545906,9.27762625,5.74039442,0.00284747,0.00134204,-0.00094192,0.11422849,0.15068751,0.04464585,0.000271175,1.9499999999999999e-07,-1.571e-05,9.00968755,9.42831376,5.78504027,0.003118635,0.00134223,-0.00095763,8.90546439,9.29059841,5.73983329,0.00286972,0.0013479,-0.00094492,0.11124953,0.14454274,0.03711872,0.00024763499999999996,1.17e-06,-1.716e-05,9.01671392,9.43514115,5.776952,0.003117355,0.00134907,-0.000962075,8.90697105,9.29251236,5.73991088,0.00287285,0.00135078,-0.00094521,0.10940569,0.14165991,0.0341457,0.000239965,1.355e-06,-1.754e-05,9.01637674,9.43417227,5.77405658,0.0031128049999999997,0.00135214,-0.00096275
HR46,silane,4.52374129,4.52374089,4.52374116,1.6e-07,-3.3e-07,-5.6e-07,0.06512074,0.06511014,0.06511446,-1.6499999999999999e-06,6.49e-06,-1.935e-06,4.58886203,4.58885103,4.58885562,-1.4900000000000001e-06,6.165e-06,-2.495e-06,4.54634191,4.54634177,4.5463416,6e-08,-5.9e-07,-4.1e-07,0.0694784,0.06947828,0.0694815,-1.19e-06,8.65e-07,-1.105e-06,4.61582031,4.61582005,4.6158231,-1.1300000000000002e-06,2.7e-07,-1.515e-06,4.54721109,4.54721094,4.54721076,5e-08,-5.8e-07,-4.1e-07,0.07162456,0.07162448,0.07162778,-1.2099999999999998e-06,8.1e-07,-1.205e-06,4.61883565,4.61883543,4.61883854,-1.16e-06,2.2e-07,-1.615e-06,4.55631394,4.55631363,4.55631317,4e-08,-6.6e-07,-3.5e-07,0.07226067,0.07226389,0.07226749,-7.95e-07,1.415e-06,-1.055e-06,4.62857461,4.62857752,4.62858065,-7.6e-07,7.55e-07,-1.405e-06,4.54688205,4.54688195,4.54688178,2e-08,-5.4e-07,-3.7e-07,0.07268557,0.07268544,0.07268876,-1.2099999999999998e-06,7.7e-07,-1.1649999999999999e-06,4.61956762,4.61956739,4.61957054,-1.1800000000000001e-06,2.35e-07,-1.5350000000000001e-06,4.54685317,4.54685304,4.54685288,6e-08,-5.8e-07,-4.2e-07,0.07236058,0.07236048,0.07236388,-1.14e-06,7.799999999999999e-07,-1.155e-06,4.61921375,4.61921352,4.61921676,-1.0799999999999998e-06,2e-07,-1.575e-06
HR46,sulfur_dioxide,4.47679567,3.24458571,3.51458032,0.49876215,-0.49905468,-0.6516041,0.20807611,0.13168546,0.16188388,0.0029804799999999998,-0.055815945000000006,-0.0038931900000000004,4.68487178,3.37627117,3.6764642,0.5017426300000001,-0.554870625,-0.65549729,4.48315006,3.26170449,3.52972777,0.49360167,-0.49541072,-0.64486198,0.20463267,0.12791326,0.15795732,0.00359781,-0.055538925,-0.004692854999999999,4.68778273,3.38961775,3.68768508,0.497199475,-0.550949645,-0.649554835,4.48453217,3.2642761,3.53210641,0.49297945,-0.49505407,-0.64404938,0.2031921,0.12716107,0.15699625,0.003427395,-0.05514531,-0.00447765,4.68772426,3.39143717,3.68910265,0.49640683500000005,-0.55019938,-0.64852703,4.46599293,3.22147478,3.49704369,0.49777173,-0.50935792,-0.65031023,0.20494886,0.12511209,0.15625538,0.00398196,-0.057563489999999995,-0.005201745,4.67094179,3.34658687,3.65329907,0.50175369,-0.56692141,-0.65551198,4.47955942,3.25370991,3.52342716,0.49387056,-0.49854191,-0.64521352,0.20417765,0.12619889,0.15664412,0.0038360850000000004,-0.056272434999999996,-0.005011345,4.68373708,3.3799088,3.68007128,0.49770665000000003,-0.554814345,-0.650224865,4.48238925,3.25947451,3.5280553,0.49370695,-0.49644129,-0.6449998,0.20292146,0.12575586,0.15585615,0.003852445,-0.0556355,-0.005032985,4.68531071,3.38523037,3.68391146,0.497559395,-0.55207679,-0.6500327850000001
HR46,sulfur_monoxide,4.51845228,2.92988998,2.92988998,0.0,0.0,0.0,-0.08899346,0.06780907,0.06780907,-0.0,0.0,-0.0,4.42945882,2.99769904,2.99769904,-0.0,0.0,-0.0,4.51022518,2.94622527,2.94622527,0.0,-0.0,-0.0,-0.09309342,0.06126036,0.06126036,-0.0,-0.0,-0.0,4.41713176,3.00748564,3.00748564,-0.0,-0.0,-0.0,4.51414321,2.95127049,2.95127049,0.0,0.0,0.0,-0.09518957,0.06021549,0.06021549,0.0,0.0,-0.0,4.41895365,3.01148598,3.01148598,0.0,0.0,0.0,4.49562369,2.89585476,2.89585476,-0.0,0.0,0.0,-0.09827408,0.05267465,0.05267465,0.0,0.0,0.0,4.3973496,2.94852941,2.94852941,0.0,0.0,0.0,4.5112555,2.93791442,2.93791442,0.0,-0.0,0.0,-0.09491091,0.05702523,0.05702523,-0.0,-0.0,0.0,4.41634459,2.99493964,2.99493964,-0.0,-0.0,0.0,4.51145738,2.94263136,2.94263136,0.0,-0.0,-0.0,-0.09713171,0.05669081,0.05669081,-0.0,0.0,-0.0,4.41432567,2.99932217,2.99932217,-0.0,0.0,-0.0
HR46,thiophene,11.22765139,10.28712971,6.52943692,0.00300024,0.000255,0.02327494,0.10698609,0.17876163,0.04064552,-0.00022886,2.103e-05,0.00033908,11.33463748,10.46589135,6.57008244,0.00277137,0.00027603,0.02361402,11.26360569,10.30935072,6.55046483,0.00304404,0.00025508,0.02334811,0.09968466,0.17398107,0.02979626,-0.00023695,2.135e-05,0.00035686500000000005,11.36329036,10.48333179,6.58026109,0.00280709,0.00027643,0.023704975,11.26601223,10.31099859,6.55180539,0.00304647,0.00025516,0.0233532,0.09845189,0.17266571,0.02646104,-0.00023671,2.145e-05,0.00036736,11.36446411,10.4836643,6.57826643,0.00280976,0.00027661,0.023720565,11.24370715,10.28692253,6.55013475,0.0030521,0.00025483,0.02325072,0.10606162,0.18160905,0.03628377,-0.00024102,2.166e-05,0.000356235,11.34976877,10.46853158,6.58641852,0.00281108,0.00027649,0.023606955,11.26184735,10.3042922,6.55292923,0.00305459,0.00025579,0.02332583,0.1010454,0.17581225,0.0286972,-0.00023848,2.158e-05,0.00036918499999999996,11.36289275,10.48010445,6.58162643,0.00281611,0.00027736,0.023695015,11.26165787,10.30707272,6.55221215,0.00304511,0.00025472,0.02332976,0.09762193,0.17277462,0.02525728,-0.00023971,2.154e-05,0.0003692,11.35927981,10.47984734,6.57746943,0.0028054,0.00027626,0.023698955
HR46,toluene,14.95566357,13.03762422,7.92065102,-0.00432989,-0.29563922,-0.04005279,0.25599368,0.17341768,0.03537978,-0.00021591999999999998,-0.00797424,-0.0022151849999999997,15.21165725,13.2110419,7.95603081,-0.004545820000000001,-0.30361345500000003,-0.042267975,14.97415003,13.05047331,7.92940355,-0.00432486,-0.29587714,-0.03984753,0.25731915,0.17106849,0.02911942,-0.000221925,-0.008200820000000001,-0.0022500849999999998,15.23146918,13.2215418,7.95852297,-0.004546784999999999,-0.304077965,-0.04209761,14.97480792,13.05088632,7.92948621,-0.00432577,-0.29589615,-0.03985777,0.25813779,0.17046147,0.02658237,-0.00022176500000000002,-0.00831222,-0.002216645,15.23294571,13.22134779,7.95606858,-0.004547535,-0.30420837,-0.042074415000000004,14.97088432,13.04887854,7.93442878,-0.00435679,-0.29549299,-0.04043061,0.2685415,0.18029245,0.03798983,-0.00022916,-0.008221685,-0.0023352299999999998,15.23942582,13.229171,7.97241861,-0.00458595,-0.303714675,-0.04276584,14.97554105,13.05211795,7.93055012,-0.00433758,-0.29590587,-0.04007482,0.26287082,0.17442624,0.03006339,-0.000223735,-0.00834025,-0.002236975,15.23841187,13.22654419,7.9606135,-0.004561315,-0.304246125,-0.04231179,14.97408284,13.05032839,7.93006642,-0.00432739,-0.29583048,-0.03988732,0.26013085,0.17160451,0.02684047,-0.00022253000000000003,-0.008363335,-0.00221725,15.23421369,13.22193289,7.95690689,-0.004549915,-0.30419381,-0.04210456
HR46,trimethyl_amine,7.44698603,7.46862316,6.95012666,0.06761503,-0.18227285,0.2137491,0.24880682,0.24546625,0.32549675,-0.010433495000000001,0.0281334,-0.03298714,7.69579284,7.71408941,7.27562341,0.057181535,-0.15413945,0.18076197,7.45432867,7.47599774,6.95674753,0.06771279,-0.18253808,0.21405993,0.24914995,0.24596141,0.3223195,-0.00995392,0.026841905,-0.03147187,7.70347862,7.72195915,7.27906703,0.057758870000000004,-0.155696175,0.18258806,7.4545527,7.476226,6.95687587,0.06772566,-0.18257325,0.21410107,0.24903097,0.24589993,0.32090441,-0.00977827,0.026366415,-0.030914735,7.70358368,7.72212593,7.27778028,0.05794739,-0.156206835,0.183186335,7.45434873,7.47619855,6.95261231,0.06827815,-0.18406242,0.21584744,0.25519435,0.25207836,0.32670811,-0.009729395,0.026234465,-0.030760555000000002,7.70954307,7.72827691,7.27932041,0.058548760000000005,-0.15782795500000002,0.185086885,7.45479364,7.47656422,6.95487716,0.06803078,-0.18339446,0.21506437,0.25149377,0.24840338,0.32240803,-0.009647224999999999,0.02601427,-0.030502245,7.70628741,7.7249676,7.27728518,0.058383555000000004,-0.15738019,0.184562125,7.45420797,7.47592049,6.95563256,0.06784793,-0.18290281,0.21448765,0.24975482,0.24666616,0.32063372,-0.0096421,0.026001605,-0.030486395,7.7039628,7.72258665,7.27626628,0.058205825,-0.156901205,0.184001245
HR46,water,1.41393359,1.36110489,1.33104042,0.02747259,-0.04149589,-0.01926722,0.07046782,0.0927502,0.10681645,-0.01003574,0.01941361,0.00703881,1.48440142,1.4538551,1.43785687,0.01743685,-0.02208228,-0.01222841,1.41829145,1.36681875,1.33677811,0.02592933,-0.0414629,-0.01818491,0.06929156,0.09168054,0.10539482,-0.01055346,0.01892793,0.00740198,1.487583,1.45849929,1.44217293,0.01537587,-0.02253496,-0.01078293,1.41881481,1.36757267,1.33775921,0.02591702,-0.04114932,-0.01817627,0.06893598,0.09135093,0.10502652,-0.01062688,0.01887461,0.00745334,1.4877508,1.4589236,1.44278573,0.015290135,-0.02227472,-0.01072293,1.40544073,1.33950138,1.30323936,0.03570707,-0.05004981,-0.02504233,0.0675699,0.08591494,0.09769458,-0.00803835,0.016258824999999998,0.005637485,1.47301063,1.42541632,1.40093394,0.02766872,-0.03379099,-0.019404845,1.41450082,1.35725968,1.32465842,0.02973853,-0.04499714,-0.02085642,0.06823266,0.08847752,0.10099375,-0.00941295,0.01727552,0.00660168,1.48273347,1.4457372,1.42565217,0.02032559,-0.02772161,-0.01425473,1.41681121,1.36313938,1.33209105,0.02734624,-0.04285373,-0.01917862,0.06821429,0.0895498,0.10258283,-0.010097245000000001,0.01798797,0.00708184,1.48502549,1.45268918,1.43467388,0.017249,-0.02486575,-0.012096775
T145,0056,14.05380546,5.64935891,4.77394186,-1.0889524,1.74e-06,-1.43e-06,0.00255603,0.11456317,0.04121411,0.06597961999999999,2.3e-07,-9e-08,14.05636149,5.76392208,4.81515598,-1.02297277,1.97e-06,-1.52e-06,14.05642128,5.66562416,4.78398558,-1.08500648,1.75e-06,-1.43e-06,-0.00012771,0.10971598,0.03559494,0.066578695,2.3e-07,-8e-08,14.05629357,5.77534014,4.81958052,-1.018427785,1.98e-06,-1.51e-06,14.05708585,5.66646945,4.78457877,-1.0848071,1.75e-06,-1.43e-06,-0.00195648,0.10838071,0.03345612,0.066956615,2.3e-07,-8e-08,14.05512937,5.77485016,4.81803488,-1.01785048,1.99e-06,-1.51e-06,14.06357296,5.63923419,4.76658465,-1.09344183,1.72e-06,-1.45e-06,0.00886662,0.11443591,0.04074212,0.06679890499999999,2.3e-07,-8e-08,14.07243958,5.75367009,4.80732677,-1.026642925,1.95e-06,-1.53e-06,14.05967559,5.65812118,4.78176296,-1.08721562,1.74e-06,-1.44e-06,0.00242812,0.11037121,0.03557873,0.066994815,2.3e-07,-8e-08,14.06210371,5.76849239,4.81734169,-1.0202208000000001,1.97e-06,-1.52e-06,14.05713579,5.66316521,4.78315215,-1.08554699,1.75e-06,-1.43e-06,-0.00115118,0.10848597,0.03332582,0.06709228,2.3e-07,-8e-08,14.0559846,5.77165118,4.81647797,-1.01845471,1.98e-06,-1.51e-06
T145,0093,6.85645766,9.77305803,5.76749382,0.64258039,-0.0,0.0,0.08518177,0.07731297,0.08668697,0.024647080000000002,0.0,0.0,6.94163943,9.850371,5.85418079,0.6672274650000001,-0.0,0.0,6.87186673,9.78521476,5.7848421,0.64203173,-0.0,-0.0,0.07665367,0.07053134,0.07664402,0.02429284,-0.0,-0.0,6.9485204,9.8557461,5.86148613,0.66632457,-0.0,-0.0,6.87255129,9.78784143,5.78507113,0.64161034,0.0,-0.0,0.07481206,0.06945867,0.07446293,0.024366405,0.0,0.0,6.94736335,9.8573001,5.85953406,0.665976745,0.0,0.0,6.84977619,9.77115454,5.75704277,0.64582071,-0.0,-0.0,0.08346504,0.07910006,0.08322252,0.02434017,0.0,0.0,6.93324123,9.8502546,5.84026529,0.6701608800000001,-0.0,-0.0,6.86576738,9.78411119,5.77734031,0.64163263,0.0,0.0,0.07939406,0.07451417,0.0789846,0.02448413,-0.0,-0.0,6.94516144,9.85862536,5.85632492,0.66611677,0.0,0.0,6.86784629,9.78497416,5.77998601,0.64067286,0.0,-0.0,0.07399001,0.06815157,0.07343581,0.024000385,0.0,0.0,6.9418363,9.85312573,5.85342182,0.6646732399999999,0.0,0.0
T145,0097,8.65447094,7.7348628,6.02730345,1.45645919,-0.0,-0.0,0.17679699,0.12123571,0.11745706,0.029085695,0.0,0.0,8.83126793,7.85609852,6.14476051,1.485544885,0.0,-0.0,8.68626341,7.76250317,6.05916148,1.45769003,-0.0,-0.0,0.16418896,0.10940935,0.10316416,0.029038615,-0.0,-0.0,8.85045237,7.87191252,6.16232564,1.486728645,-0.0,-0.0,8.68983022,7.76742941,6.06210625,1.45865341,0.0,0.0,0.16193293,0.10714266,0.10036226,0.029125035,0.0,0.0,8.85176314,7.87457208,6.16246852,1.487778445,0.0,0.0,8.64563436,7.70948626,5.99741408,1.46296203,-0.0,0.0,0.16966841,0.11276649,0.10495489,0.030735909999999998,0.0,-0.0,8.81530277,7.82225275,6.10236896,1.4936979400000001,-0.0,0.0,8.67772697,7.75607881,6.04701606,1.46124965,0.0,-0.0,0.1660237,0.11049044,0.10319829,0.02985026,-0.0,0.0,8.84375067,7.86656926,6.15021435,1.49109991,0.0,-0.0,8.68155986,7.75803896,6.05017993,1.46004359,0.0,-0.0,0.1589629,0.10449269,0.09741209,0.028862205000000002,0.0,-0.0,8.84052276,7.86253165,6.14759202,1.488905805,0.0,-0.0
